"h","variable","v","SE0","templag","templead","templag2","templead2","ub","lb"
1,"JoblessBERT",50.9655043379464,0.705837575897651,59.4902251172787,44.2995843506924,63.7297895347292,42.7219528129385,52.7583317807264,49.1726768951663
2,"JoblessBERT",48.4759132852874,0.705837575897651,55.6282990594383,42.7219528129385,59.4902251172787,42.0642190130241,50.2687407280674,46.6830858425074
3,"JoblessBERT",46.3877488179899,0.704284909436952,51.9023464522712,42.0642190130241,55.6282990594383,NA,48.1766324879598,44.59886514802
4,"JoblessBERT",44.2995843506924,0.704284909436952,49.1067035458681,NA,51.9023464522712,NA,46.0884680206622,42.5107006807225
4.35416666666667,"JoblessBERT",42.7219528129385,0.703772865188438,47.0774879834854,NA,49.1067035458681,NA,44.5095358905171,40.9343697353599
-9,"Rule-Based",89.9434442629384,0.851823944849971,NA,87.2537654674324,NA,85.1248581263054,92.1070770828573,87.7798114430195
-8,"Rule-Based",88.5941752653527,0.851823944849971,NA,85.1248581263054,NA,81.6643619347574,90.7578080852716,86.4305424454337
-7,"Rule-Based",87.2449062677669,0.833852261713809,NA,81.6643619347574,NA,78.1473185624228,89.36289101252,85.1269215230139
-6,"Rule-Based",85.1148427642645,0.833852261713809,89.9434442629384,78.1473185624228,NA,74.0415915057322,87.2328275090176,82.9968580195115
-5,"Rule-Based",83.2231387722274,0.820611100027145,89.3749697712693,74.0415915057322,89.9434442629384,70.6104454175053,85.3074909662964,81.1387865781585
-4,"Rule-Based",81.3314347801903,0.820611100027145,88.5775604812809,70.6104454175053,89.3749697712693,67.2429963584933,83.4157869742593,79.2470825861214
-3,"Rule-Based",79.4681062068979,0.814912697324687,87.2537654674324,67.2429963584933,88.5775604812809,65.2379831362411,81.5379844581026,77.3982279556932
-2,"Rule-Based",72.8813981786445,0.716314125862729,85.1248581263054,65.2379831362411,87.2537654674324,64.0375620842007,74.7008360583358,71.0619602989531
-1,"Rule-Based",71.2609791162099,0.715367543989902,81.6643619347574,64.0375620842007,85.1248581263054,63.5313652404103,73.0780126779443,69.4439455544756
0,"Rule-Based",69.6405600537754,0.714666125098594,78.1473185624228,63.5313652404103,81.6643619347574,63.1317347640236,71.4558120115259,67.825308096025
1,"Rule-Based",67.4704364686656,0.714083406438152,74.0415915057322,63.1317347640236,78.1473185624228,62.585571282346,69.2842083210185,65.6566646163127
2,"Rule-Based",65.7445262613507,0.714083406438152,70.6104454175053,62.585571282346,74.0415915057322,62.3363641832051,67.5582981137036,63.9307544089977
3,"Rule-Based",64.4381305126871,0.712039628358278,67.2429963584933,62.3363641832051,70.6104454175053,NA,66.2467111687171,62.6295498566571
4,"Rule-Based",63.1317347640236,0.712039628358278,65.2379831362411,NA,67.2429963584933,NA,64.9403154200536,61.3231541079935
4.35416666666667,"Rule-Based",62.585571282346,0.711533940620118,64.0375620842007,NA,65.2379831362411,NA,64.3928674915211,60.7782750731709
