"tm","regex_mrp","bert990_mrp","regex_uw","bert990_uw","iclaimnsa","iclaimnsa_raw"
199139,NA,NA,NA,NA,2.02913104721197,2.02913104721197
199140,NA,NA,NA,NA,2.22740188459297,2.22740188459297
199141,NA,NA,NA,NA,2.35798766271615,2.35798766271615
199142,NA,NA,NA,NA,2.08974281134642,2.08974281134642
199143,NA,NA,NA,NA,2.30870531377501,2.30870531377501
199144,NA,NA,NA,NA,2.59732004080047,2.59732004080047
199145,NA,NA,NA,NA,2.87444142218768,2.87444142218768
199146,NA,NA,NA,NA,2.53646541674762,2.53646541674762
199147,NA,NA,NA,NA,3.05415776180299,3.05415776180299
199148,NA,NA,NA,NA,2.6300514863027,2.6300514863027
199149,NA,NA,NA,NA,3.70429983485526,3.70429983485526
199150,NA,NA,NA,NA,3.36396808820672,3.36396808820672
199151,NA,NA,NA,NA,3.37421677676316,3.37421677676316
199152,NA,NA,NA,NA,3.79937342141053,3.79937342141053
199201,NA,NA,NA,NA,3.95889595881096,3.95889595881096
199202,NA,NA,NA,NA,5.35577763745871,5.35577763745871
199203,NA,NA,NA,NA,4.1766684476394,4.1766684476394
199204,NA,NA,NA,NA,3.06512288711871,3.06512288711871
199205,NA,NA,NA,NA,3.08792743345638,3.08792743345638
199206,NA,NA,NA,NA,3.26183942102195,3.26183942102195
199207,NA,NA,NA,NA,2.85235331260929,2.85235331260929
199208,NA,NA,NA,NA,2.60906231785506,2.60906231785506
199209,NA,NA,NA,NA,2.76245264231591,2.76245264231591
199210,NA,NA,NA,NA,2.63761657276083,2.63761657276083
199211,NA,NA,NA,NA,2.53352681173499,2.53352681173499
199212,NA,NA,NA,NA,2.50862152710317,2.50862152710317
199213,NA,NA,NA,NA,2.25181537789003,2.25181537789003
199214,NA,NA,NA,NA,2.38843015348747,2.38843015348747
199215,NA,NA,NA,NA,2.50721293957645,2.50721293957645
199216,NA,NA,NA,NA,2.22593865358461,2.22593865358461
199217,NA,NA,NA,NA,2.21278171750534,2.21278171750534
199218,NA,NA,NA,NA,2.20877452885176,2.20877452885176
199219,NA,NA,NA,NA,2.21063240722751,2.21063240722751
199220,NA,NA,NA,NA,2.07296119098504,2.07296119098504
199221,NA,NA,NA,NA,2.08514668739071,2.08514668739071
199222,NA,NA,NA,NA,1.85229259762969,1.85229259762969
199223,NA,NA,NA,NA,2.27667816203614,2.27667816203614
199224,NA,NA,NA,NA,2.24078953759472,2.24078953759472
199225,NA,NA,NA,NA,2.24642388770157,2.24642388770157
